name,url,avatarUrl
Iltempe,https://github.com/iltempe,https://avatars0.githubusercontent.com/u/6368214?v=4
Matteo Fortini,https://github.com/mfortini,https://avatars3.githubusercontent.com/u/1104926?v=4
Antonio Vivace,https://github.com/avivace,https://avatars1.githubusercontent.com/u/14352721?v=4
Timothy Redaelli,https://github.com/drizzt,https://avatars3.githubusercontent.com/u/211316?v=4
Albertopi78,https://github.com/Albertopi78,https://avatars2.githubusercontent.com/u/42850988?v=4
Vincenzo Tilotta,https://github.com/tailot,https://avatars3.githubusercontent.com/u/40148896?v=4
olistik,https://github.com/olistik,https://avatars1.githubusercontent.com/u/21038?v=4
Francesco Pinzauti,https://github.com/Pinzauti,https://avatars3.githubusercontent.com/u/16691846?v=4
Alessandro Cipriani,https://github.com/magiaslab,https://avatars3.githubusercontent.com/u/9402517?v=4
Andrei Ciulpan,https://github.com/Jolsty,https://avatars2.githubusercontent.com/u/43622539?v=4
