Tipo,Valore
Segnalazioni totali,1578
Accettate,1386
Attivita culturali e ricreative,113
Bollettino,662
Consegne e commissioni,353
Contatti utili,65
Dati utili,4
Didattica a distanza e-learning,56
Donazioni beni e offerte servizi,78
Donne,37
Fake News,43
Fonti istituzionali,97
Giochi/intrattenimento bambini,26
Notizie Utili,296
Posizione da verificare,1
Posizione mancante,6
Raccolte fondi,260
Richiesta aiuto,68
Servizi e iniziative solidali private,430
Servizi e iniziative solidali pubbliche,211
Sostegno lavoro e imprese,34
Stranieri,48
Supporto psicologico,176
form,1173
