comune,provincia,regione,chi,descrizione,destinatari,contatti,fonte,tag
Torino,Torino,Piemonte,,,,,https://torino.corriere.it/cronaca/20_marzo_07/siamo-ragazze-quarto-piano-possiamo-portarvi-spesa-casa-messaggio-anziani-condominio-75708cae-606f-11ea-8d61-438e0a276fc4.shtml,Consegne e commissioni
Fidenza,Parma,Emilia-Romagna,Gruppo Scout Agesci 1 e 2,,,,https://parma.repubblica.it/cronaca/2020/03/07/news/coronavirus_a_fidenza_i_volontari_scout_portano_la_spesa_a_casa_agli_voer_65-250544993/?ref=fbpr,Consegne e commissioni
Roma,Roma,Lazio,Circolo Arci Sparwasser,,,,https://www.facebook.com/ArciSparwasser/photos/a.186052468403331/1118309415177627/?type=3&theater,Servizi e iniziative solidali private
,,,Smk Videofactory,streaming di comunità,,,https://www.openddb.it/streaming-di-comunita/,Sostegno al lavoro
Milano,Milano,Lombardia ,"Comitato Abitanti San Siro, associazione Naga",Traduzione in 7 lingue decalogo Ministero della Salute,,,http://www.milanotoday.it/attualita/coronavirus/coronavirus-consigli-ministero-tradotti.html,Sostegno al lavoro
Trento,Trento,Trentino,Anffas ,Traduzione in comunicazione alternativa aumentativa decalogo Ministero della Salute,,,http://www.anffas.tn.it/component/k2/item/824-coronavirus.html,Sostegno al lavoro
Milano,Milano,Lombardia ,Pizzaiolo Nanni Arbellini,,,,https://www.greenme.it/approfondire/buone-pratiche-a-case-history/pizze-gratuite-infermieri-coronavirus/,Consegne e commissioni
Costa Volpino,Bergamo,Lombardia,Bed&Breakfast di Michela Mazzucchelli,"Weekend gratuito per 15 medici e infermieri degli ospedali di Crema, Seriate e Lodi",,,https://milano.repubblica.it/cronaca/2020/03/06/news/coronavirus_b_b_lago_d_iseo_offre_soggiorno_medici_infermieri-250431477/,Servizi e iniziative solidali private
Cesano Boscone,Milano,Lombardia ,Manuel,,,,https://giornaledeinavigli.it/cronaca/nellemergenza-coronavirus-storie-di-generosita-e-solidarieta/,Consegne e commissioni
Trezzano sul Naviglio ,Milano,Lombardia ,Luana,,,,https://giornaledeinavigli.it/cronaca/nellemergenza-coronavirus-storie-di-generosita-e-solidarieta/,Consegne e commissioni
Buccinasco,Milano,Lombardia ,Fabio e Serena,,,,https://giornaledeinavigli.it/cronaca/nellemergenza-coronavirus-storie-di-generosita-e-solidarieta/,Consegne e commissioni
Buccinasco,Milano ,Lombardia ,Asb Azienda,Offerta di confezione da 50 ml igienizzante mani,,,https://giornaledeinavigli.it/cronaca/nellemergenza-coronavirus-storie-di-generosita-e-solidarieta/,Donazioni materiali/strumenti
Milano,Milano ,Lombardia ,Gruppi di cittadini,,,,https://www.ilgiorno.it/milano/cronaca/coronavirus-appello-per-buon-vicinato-da-assessore-e-consiglieri-1.5055209,Servizi e iniziative solidali private
Torino,Torino,Piemonte,Gruppi di cittadini,,,,https://torino.corriere.it/cronaca/20_marzo_07/mi-prendo-cura-mio-vicino-l-appello-diventare-volontari-10ae50b4-6090-11ea-8d61-438e0a276fc4.shtml,Servizi e iniziative solidali private
Roma,Roma,Lazio,Gruppi di cittadini,,,,https://www.iltempo.it/roma-capitale/2020/03/08/news/coronavirus-i-vicini-di-casa-fanno-la-spesa-agli-anziani-montagnola-roma-1292328/,Consegne e commissioni
Milano,Milano ,Lombardia ,"Chiesa di Milano, Caritas",,,,https://www.chiesadimilano.it/news/milano-lombardia/la-solidarieta-ai-tempi-del-coronavirus-309651.html,Servizi e iniziative solidali private
Bologna,Bologna,Emilia-Romagna ,Antoniano,,,,https://www.emiliaromagnanews24.it/bologna-il-coronavirus-non-ferma-la-solidarieta-138405.html,Servizi e iniziative solidali private
Roma,Roma,Lazio,Comunità di Sant'Egidio,,,,https://www.romasette.it/la-solidarieta-al-tempo-del-coronavirus/,Servizi e iniziative solidali private
Brescia,Brescia,Lombardia ,"Farmacia comunali, Fedefarma, Croce Bianca",,,,https://www.elivebrescia.tv/coronavirus-prontofarmaco-consegna-gratuita-di-farmaci-a-ultra-75enni-24-ore-su-24/,Consegne e commissioni
Bologna,Bologna,Emilia-Romgna,Lloyds Farmacia,,,,https://www.lloydsfarmacia.it/consegna-domiciliare,Consegne e commissioni
Milano,Milano,Lombardia,Lloyds Farmacia,,,,https://www.lloydsfarmacia.it/consegna-domiciliare,Consegne e commissioni
Prato,Prato,Toscana,Lloyds Farmacia,,,,https://www.lloydsfarmacia.it/consegna-domiciliare,Consegne e commissioni
Parma,Parma,Emilia-Romagna,Lloyds Farmacia,,,,https://www.lloydsfarmacia.it/consegna-domiciliare,Consegne e commissioni
Roma,Roma,Lazio,Lloyds Farmacia,,,,https://www.lloydsfarmacia.it/consegna-domiciliare,Consegne e commissioni
Mazara del Vallo,Trapani,Sicilia,Libreria Lettera 22,,,0923 907592,https://www.facebook.com/LibreriaLettera22/photos/care-lettrici-e-lettori-considerato-il-nuovo-decreto-del-governo-abbiamo-deciso-/3027335917285807/,Didattica a distanza
In tutta Italia,,,Racconta un libraio ,,,,https://raccontaunlibraio.com/2020/03/06/librerie-coronavirus/,Consegne e commissioni
In tutta Italia,,,Save the children,"Progetto ""Non da soli"" per sostenere la didattica a distanza nelle famiglie in difficoltà ",,,http://www.vita.it/it/article/2020/03/07/coronavirus-save-the-children-contrastare-gli-effetti-negativi-della-c/154318/,Didattica a distanza
Venezia,Venezia,Veneto,Generazione 90,,,info@generazione90venezia.it; 3464927533,https://www.facebook.com/generazione90/photos/a.594259937410630/1475825895920692/?type=3&theater,Consegne e commissioni
