comune,provincia,regione,chi,descrizione,destinatari,contatti,fonte,tag
Lecce,Lecce,Puglia,Luigi E. Conte & Co.,Raccolta fondi per aumentare i posti di terapia intensiva dell'ospedale Vito Fazzi e permettere all'ASL di Lecce l'acquisto di materiale destinati a contrastare la diffusione del virus in ambito sanitario.,Ospedale Vito Fazzi Lecce,,https://www.gofundme.com/f/2dqhr-coronavirus-rafforziamo-la-terapia-intensiva?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet+exp4vb,Raccolta fondi
Lodi,Lodi,Lombardia,Caritas Lodi,gf.me/u/xqbgu5,Caritas Lodi,,https://bit.ly/39Dmuzl,Raccolta fondi
Italia,Italia,Italia,Elisa Stagnati e Alessandra Sellitto,Raccolta fondi Protezione Civile,,,https://iorestoacasa.com/index.html?fbclid=IwAR3tBE9QR7Tj_rh624rC2xb0OEdyJjqmvwRKgHdPpqjtHAT-wj51s3UhcK8,Raccolta fondi
Bergamo,Bergamo,Lombardia,Ass.ne Papa Giovanni XXIII,,Ospedale Bergamo,,https://m.facebook.com/story.php?story_fbid=2233056337001294&id=1497288917244710,Raccolta fondi
Cremona,Milano,Lombardia,,Raccolta fondi per rafforzare la terapia intensiva,Ospedale di Cremona,,https://www.gofundme.com/f/raccolta-fondi-per-l039-ospedale-di-cremona,Raccolta fondi
Milano,Milano,Lombardia,The Ferragnez,Raccolta fondi per rafforzare la terapia intensiva,San Raffaele di MIlano,,https://www.gofundme.com/f/coronavirus-terapia-intensiva?fbclid=IwAR1LscOtahbuNMnvht_Y4DOIAVk0epdV1HnDdeF1q4g8ifYzd4yJrB2DLPc,Raccolta fondi
Pavia,Pavia,Lombardia,Croce Rossa Italiana- Pavia,Raccolta fondi Croce Rossa Italiana,Croce Rossa,,https://www.facebook.com/donate/492487048085274/?fundraiser_source=external_url,Raccolta fondi
Italia,Italia,Italia,Save The Planet Onlus,#iorestoacasa: acquisto di altri presidi ospedalieri utili a supportare il lavoro di tutte le strutture sanitarie in Italia. ,Protezione Civile,,https://iorestoacasa.com/index.html?fbclid=IwAR3Ig4Q3J_y-FM8YggN5RwhkxFfpwEqwDf8kkUOP8_6gJiv23kWF-fYv3GE,Raccolta fondi
Bologna,Bologna,Emilia Romagna,Ospedale Sant´Orsola,Donazione Osp. SantÓrsola-Malpighi,Ospedale Sant´Orsola,,https://www.aosp.bo.it/content/fai-una-donazione?fbclid=IwAR2pTgWfhpFiOxEOTJEbbXWSisYdNrgoK9nOAHBImYSPmR1qG3iADLltu3s,Raccolta fondi
Cosenza,Cosenza,Calabria,Alfredo Taranto,Raccolta per Azienda Ospedaliera di Cosenza per l’acquisto di materiale medico e/o sanitario,Annunziata di Cosenza,,https://www.gofundme.com/f/calabria-anticovid,Raccolta fondi
Lodi,Lodi,Lombardia,Associazione Volontaria Croce Casalese e Paesi Limitrofi,"Raccolta fondi per acquisto di materiale di protezione individuale (mascherine FFP2/3, disinfettanti, tute protettive, guanti e occhiali) e altri presidi di tipo essenziale per l'implementazione dei protocolli d'emergenza.",residenti prov. Lodi,,https://www.gofundme.com/f/vqmkx9-aiutaci-ad-aiutare?fbclid=IwAR2_nOU3wD4aWialN-fGVF8MfSpZG-iSFUYiQqMjgZU3NogavzdOP0nhzBY,Raccolta fondi
Brescia,Brescia,Lombardia,Fondazione Comunita Bresciana Onlus,Raccolta fondi per Ospedali bresciani,ospedali di Brescia,,https://www.giornaledibrescia.it/brescia-e-hinterland/aiutiamobrescia-la-raccolta-fondi-per-gli-ospedali-bresciani-1.3465790?fbclid=IwAR0nAj44EoQXlyk9Cf22_L0wBojOPTtlOgizEHPZsVBp1JPNrAbMHuoGVRw,Raccolta fondi
Monza,Monza,Lombardia,Croce Rossa Monza,acquisto di materiale di protezione per i volontari,tutt,,https://www.gofundme.com/f/yqppre-cri-monza-coronavirus-2019,Raccolta fondi
,,Puglia,Barbara Palazzi,potenziare i quantitativi di ventilatori polmonari e monitor multi parametrici.,ospedali Puglia,,https://www.gofundme.com/f/tztxv-rafforziamo-la-terapia-intensiva-a-bari?utm_source=facebook&utm_medium=social&utm_campaign=m_pd+share-sheet&fbclid=IwAR0HdYdw3_wA_a79mIxkgPdQShyluXmdyMFzV2KKkyhJPA69M97tsiw9oY4,Raccolta fondi
,,Lombardia,Fondazione Cariplo,,,,,
Jesi,Ancona,Marche,ImpAct Associazione Culturale,potenziamento attrezzature,Ospedale Carlo Urbani,,https://it-it.facebook.com/associazioneimpact/,Raccolta fondi
Ancona,Ancona,Marche,privata cittadina in collaborazione con azienda ospedaliera,potenziamento terapia intensiva,Azienda Ospedali Riuniti di Torrette,,https://www.gofundme.com/f/donazione-per-ospedale-torrette?utm_source=customer&utm_medium=copy_link&utm_campaign=m_pd+share-sheet,Raccolta fondi
Bergamo,Bergamo,Lombardia,tifosi dell'Atalanta,donazione per l'ospedale di Bergamo,,,https://www.inews24.it/2020/03/10/atalanta-solidarieta-tifosi-coronavirus-ospedale-bergamo/,Raccolta fondi
Roma,Roma,Lazio,Comunità di Sant'Egidio,"generi utili, come alimentari, gel igienizzanti e fazzoletti di carta per senzatetto e anziani",Comunità di Sant'Egidio,,https://www.facebook.com/donate/503579490301582/10221812290241438/,Raccolta fondi
Chivasso,Torino,Piemonte,Francesco Pecco Bagnaia,Raccolta Fondi,Città della Salute di Torino ,,https://www.gofundme.com/f/exfz34-insieme-contro-il-virus?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet,Raccolta fondi
