Categoria,Tipologia istituzione ,Tipologia atto ,Link 
Nazionale,Presidenza Consiglio dei Ministri ,DECRETO DEL PRESIDENTE DEL CONSIGLIO DEI MINISTRI 9 marzo 2020,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2020-03-09&atto.codiceRedazionale=20A01558&elenco30giorni=false
Nazionale,Presidenza Consiglio dei Ministri ,"DECRETO-LEGGE 9 marzo 2020, n. 14 - Disposizioni urgenti per il potenziamento del Servizio sanitario nazionale in relazione all'emergenza COVID-19",https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2020-03-09&atto.codiceRedazionale=20G00030&elenco30giorni=false
Nazionale,Miinistero dell'Interno ,modulo di autodichiarazione per gli spostamenti,https://www.interno.gov.it/sites/default/files/allegati/modulo_autodichiarazione_spostamenti.pdf
Nazionale,Dipartimento Protezione Civile ,Comunicati stampa,http://www.protezionecivile.gov.it/web/guest/media-comunicazione/comunicati-stampa
Nazionale,Dipartimento Protezione Civile ,Ordinanze (e decreti) di Protezione Civile relative al Coronavirus ,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/normativa-emergenza-coronavirus
Nazionale,Ministero della Salute ,"Circolari, ordinaze, provvedimenti ecc..",http://www.salute.gov.it/portale/documentazione/p6_2_6.jsp?lingua=italiano&tipo=circolari&btnCerca=cerca&iPageNo=1
Nazionale,Ministero degli Affari Esteri e della Cooperazione Internazionale,"Info varie, documenti ufficiali in lingua, Unità di Crisi Farnesina",https://www.esteri.it/mae/it/
Nazionale,Ministero degli Affari Esteri e della Cooperazione Internazionale,Focus coronavirus su Viaggiare sicuri,http://www.viaggiaresicuri.it/documenti/FOCUS%20CORONAVIRUS.pdf
Nazionale,Ministero dell'Economia e delle Finanze,Info varie ,http://www.mef.gov.it/
Nazionale,Ministero dell'Istruzione ,Sezione Coronavirus ,https://www.istruzione.it/coronavirus/index.html
Nazionale,Dipartimento della funzione pubblica,Circolare sullo smart working,http://www.funzionepubblica.gov.it/articolo/dipartimento/04-03-2020/emergenza-covid-19-emanata-la-circolare-n-1-del-4-marzo-2020
